aleph system no.,dom id,author (o),author (n),other author (o),other author (n),title,title (n),metadata,edition,imprint (o),p name,p location,p year,type
014828779,lsidyv34ef8b66,"s*****, a.","s*****, a.",socrates.,socrates,"socrates, a tragedy in five acts; written 1814. [the dedication signed: a. s*****.] (plan du poëme de lothaire.-extracts from lothaire, an unfinished poem; and other detached pieces.). [electronic resource]","socrates, a tragedy in five acts","; written 1814. [the dedication signed: a. s*****.] (plan du poëme de lothaire.-extracts from lothaire, an unfinished poem; and other detached pieces.)",,"paris : sétier, 1822.",sétier,paris,1822,tragedy
014828855,lsidyv3a5830ce,"saint john, john, hon.","saint john, john",,,"[mary queen of scots, a tragedy [in five acts and in verse].] [electronic resource]","mary queen of scots, a tragedy",[in five acts and in verse],third edition.,"london, 1789.",,london,1789,tragedy
014828939,lsidyv32d7c8e9,"saunders, charles, of westminster school.","saunders, charles","dryden, john, 1631-1700.","dryden, john","tamerlane the great, a tragedy [in five acts and in verse]. [electronic resource]","tamerlane the great, a tragedy",[in five acts and in verse],,"london, 1681.",,london,1681,tragedy
014829091,lsidyv33530eaf,"scott, thomas, secretary to the earl of roxburgh.","scott, thomas","beaumont, francis, 1584-1616.","beaumont, francis","the unhappy kindness: or, a fruitless revenge. a tragedy ... [in verse and prose.] written [sic] by mr. scot [or rather, adapted by him from “a wife for a month” by francis beaumont and john fletcher]. [electronic resource]","the unhappy kindness: or, a fruitless revenge. a tragedy","[in verse and prose.] written [sic] by mr. scot [or rather, adapted by him from “a wife for a month” by francis beaumont and john fletcher]...",,"london : [48]. h. rhodes, etc., 1697.",[48]. h. rhodes etc.,london,1697,tragedy
014829209,lsidyv338f79b2,"sedley, charles, sir, bart.","sedley, charles",,,"antony and cleopatra; a tragedy [in five acts and in verse], etc. [electronic resource]","antony and cleopatra; a tragedy, etc.",[in five acts and in verse],,"london, 1677.",,london,1677,tragedy
014829242,lsidyv346136d7,"seneca, lucius annaeus, ca. 4 b.c.-65 a.d.","seneca, lucius annaeus","t., j. -- talbot, james, rector of spofforth.","t., j.  talbot, james",l. annæus seneca's troas. a tragedy. translated from the latine by j. t[albot]. [electronic resource],troas,l. annæus seneca's. a tragedy. translated from the latine by j. t[albot],,"london : j. tonson, 1686.",j. tonson,london,1686,tragedy
014829275,lsidyv345d1b62,"settle, elkanah.","settle, elkanah",,,"the ambitious slave: or, a generous revenge, a tragedy [in five acts and in verse]. [electronic resource]","the ambitious slave: or, a generous revenge, a tragedy",[in five acts and in verse],,"london, 1694.",,london,1694,tragedy
014829277,lsidyv3350408f,"settle, elkanah.","settle, elkanah",,,"[cambyses, king of persia, a tragedy [in five acts and in verse], etc.] [electronic resource]","cambyses, king of persia, a tragedy, etc.",[in five acts and in verse],,"london, 1675.",,london,1675,tragedy
014829278,lsidyv345d153b,"settle, elkanah.","settle, elkanah","mayer, johann friedrich, professor of theology at wittenberg.","mayer, johann friedrich","the conquest of china, by the tartars. a tragedy [in five acts and in verse]. [electronic resource]","the conquest of china, by the tartars. a tragedy",[in five acts and in verse],,"london, 1676.",,london,1676,tragedy
014829279,lsidyv3351104f,"settle, elkanah.","settle, elkanah",,,"distress'd innocence: or, the princess of persia. a tragedy [in five acts and in verse]. [electronic resource]","distress'd innocence: or, the princess of persia. a tragedy",[in five acts and in verse],,"london, 1691.",,london,1691,tragedy
014829280,lsidyv345d133a,"settle, elkanah.","settle, elkanah",,,"[the empress of morocco. a tragedy [in five acts and in verse]. with sculptures, etc. (the second prologue at court ... by the lord rochester.)] [electronic resource]",the empress of morocco. a tragedy,"[in five acts and in verse]. with sculptures, etc. (the second prologue at court...by the lord rochester.)",[another edition.],"london, 1687.",,london,1687,tragedy
014829281,lsidyv345d1754,"settle, elkanah.","settle, elkanah",,,the female prelate: being the history of the life and death of pope joan. a tragedy [in five acts and in verse]. [electronic resource],the female prelate: being the history of the life and death of pope joan. a tragedy,[in five acts and in verse],,"london : w. cademan, 1680.",w. cademan,london,1680,tragedy
014829282,lsidyv345d1d33,"settle, elkanah.","settle, elkanah",,,"[the heir of morocco, with the death of gayland. [a tragedy, in five acts, in verse, etc.]] [electronic resource]","the heir of morocco, with the death of gayland","[a tragedy, in five acts, in verse, etc.]",[another edition.],"london, 1694.",,london,1694,tragedy
014829283,lsidyv338f7e5c,"settle, elkanah.","settle, elkanah",,,love and revenge: a tragedy [in five acts and in verse]. [electronic resource],love and revenge: a tragedy,[in five acts and in verse],,"london, 1675.",,london,1675,tragedy
014829304,lsidyv345e1388,"shadwell, thomas, poet laureate.","shadwell, thomas",,,"the libertine: a tragedy, etc. [in five acts, in verse and in prose.] [electronic resource]","the libertine: a tragedy, etc.","[in five acts, in verse and in prose.]",,"london, 1676.",,london,1676,tragedy
014829308,lsidyv345ffc17,"shadwell, thomas, poet laureate.","shadwell, thomas","molière, 1622-1673.",molière,"psyche: a tragedy, etc. [in five acts and in verse, partly borrowed from the french of molière.] [electronic resource]","psyche: a tragedy, etc.","[in five acts and in verse, partly borrowed from the french of molière.]",,"london, 1675.",,london,1675,tragedy
014829329,lsidyv314daa78,"shakespeare, william, 1564-1616","shakespeare, william","hawkins, william, prebendary of wells.","hawkins, william",cymbeline. a tragedy. altered from shakespeare. as it is perform'd at the theatre-royal in covent-garden. by w. hawkins. [electronic resource],cymbeline. a tragedy,altered from shakespeare. as it is perform'd at the theatre-royal in covent-garden. by w. hawkins,,"london : j. rivington & j. fletcher, 1759.",j. rivington & j. fletcher,london,1759,tragedy
014829331,lsidyv345fc1a6,"shakespeare, william, 1564-1616","shakespeare, william",,,[the tragedy of hamlet. as it is now acted at his highness the duke of york's theatre.] [electronic resource],the tragedy of hamlet,. as it is now acted at his highness the duke of york's theatre,[another edition.] the tragedy of hamlet ... as it is now acted at the theatre royal by their majesties servants.,"london : r. bentley, 1695.",r. bentley,london,1695,tragedy
014829333,lsidyv32c46b43,"shakespeare, william, 1564-1616","shakespeare, william",,,"some remarks on the tragedy of hamlet, prince of denmark, written by mr. william shakespeare. [electronic resource]","some remarks on the tragedy of hamlet, prince of denmark, written by mr. william shakespeare",,,"london : w. wilkins, 1736.",w. wilkins,london,1736,tragedy
014829342,lsidyv2eb3bb00,"shakespeare, william, 1564-1616","shakespeare, william",,,"romeo and juliet, a tragedy. [with alterations by david garrick.] [electronic resource]","romeo and juliet, a tragedy",[with alterations by david garrick.],,"london : h. garland, [1750.].",h. garland,london,1750,tragedy
014829352,lsidyv345ce384,"shakespeare, william, 1564-1616","shakespeare, william","ravenscroft, edward, dramatist.","ravenscroft, edward","titus andronicus; or the rape of lavinia; a tragedy, alter'd from mr. shakespear's works, by mr. edw. ravenscroft. [electronic resource]",titus andronicus; or the rape of lavinia; a tragedy,", alter'd from mr. shakespear's works, by mr. edw. ravenscroft",,"london : printed by j. b., for j. hindmarsh, 1687.",printed by j. b. for j. hindmarsh,london,1687,tragedy
014829403,lsidyv34701094,"sheil, richard lalor, right hon.","sheil, richard lalor",,,"adelaide: or, the emigrants: a tragedy [in five acts, in verse], etc. [electronic resource]","adelaide: or, the emigrants: a tragedy, etc.","[in five acts, in verse]",,"dublin, 1814.",,dublin,1814,tragedy
014829405,lsidyv2eb40896,"sheil, richard lalor, right hon.","sheil, richard lalor",,,"the apostate, a tragedy, in five acts [in prose]. third edition. [electronic resource]","the apostate, a tragedy, in five acts",[in prose]. third edition,,"london, 1817.",,london,1817,tragedy
014829408,lsidyv34af4ac3,"sheil, richard lalor, right hon.","sheil, richard lalor",,,"bellamira; or, the fall of tunis. a tragedy, in five acts, etc. [electronic resource]","bellamira; or, the fall of tunis. a tragedy, in five acts, etc.",,,"london : [78]. john murray, 1818.",[78]. john murray,london,1818,tragedy
014829411,lsidyv34af4fde,"sheil, richard lalor, right hon.","sheil, richard lalor",,,"evadne; or, the statue; a tragedy in five acts [and in verse. based on j. shirleys “the traitor”]. [electronic resource]","evadne; or, the statue; a tragedy in five acts",[and in verse. based on j. shirleys “the traitor”],,"london : j. murray, 1819.",j. murray,london,1819,tragedy
014829481,lsidyv345ebc86,"shipman, thomas.","shipman, thomas",,,henry the third of france stabb'd by a fryer; with the fall of the guise. a tragedy [in five acts and in verse]. [electronic resource],henry the third of france stabb'd by a fryer; with the fall of the guise. a tragedy,[in five acts and in verse],,"london, 1678.",,london,1678,tragedy
014829486,lsidyv3395e0ee,"shirley, henry, dramatist.","shirley, henry","k., i.","k., i.","the martyr'd souldier. [a tragedy in five acts, in verse; edited by j. k.] [electronic resource]",the martyr'd souldier,"[a tragedy in five acts, in verse; edited by j. k.]",,"london, 1638.",,london,1638,tragedy
014829490,lsidyv345ceb34,"shirley, james, 1596-1666.","shirley, james",,,"the dukes mistris. [a tragedy, in five acts, in verse.] [electronic resource]",the dukes mistris,"[a tragedy, in five acts, in verse.]",,"london, 1638.",,london,1638,tragedy
014829499,lsidyv345c603e,"shirley, james, 1596-1666.","shirley, james",,,"the maides revenge. a tragedy. as it hath been acted with good applause at the private house in drury lane, by her majesties servants. [electronic resource]",the maides revenge. a tragedy,"as it hath been acted with good applause at the private house in drury lane, by her majesties servants",,"london : printed for william cooke, 1639.",printed for william cooke,london,1639,tragedy
014829501,lsidyv345c5adb,"shirley, james, 1596-1666.","shirley, james",,,"the polititian, a tragedy [in five acts, in verse]. [electronic resource]","the polititian, a tragedy","[in five acts, in verse]",,"london, 1655.",,london,1655,tragedy
014829741,lsidyv3461dedc,"smith, henry, of clifford's inn.","smith, henry","motteux, peter anthony, 1660-1718.","motteux, peter anthony","the princess of parma. a tragedy [in five acts and in verse], etc. (epilogue ... by mr motteux.). [electronic resource]",the princess of parma. a tragedy,"[in five acts and in verse], etc. (epilogue by...mr motteux.)",,"london, 1699.",,london,1699,tragedy
014829843,lsidyv2eb40aff,"soane, george.","soane, george",,,"the bohemian, a tragedy in five acts [in prose]. [electronic resource]","the bohemian, a tragedy in five acts",[in prose],,"london, 1817.",,london,1817,tragedy
014829878,lsidyv316624a2,"sotheby, william.","sotheby, william",,,"ellen; or, the confession: a tragedy, in five acts [and in verse]. [electronic resource]","ellen; or, the confession: a tragedy, in five acts",[and in verse],,"london, 1816.",,london,1816,tragedy
014829889,lsidyv3460996d,"southern, thomas.","southern, thomas",,,the fate of capua; a tragedy [in five acts and in verse]. [electronic resource],the fate of capua; a tragedy,[in five acts and in verse],,"london, 1700.",,london,1700,tragedy
014829890,lsidyv345ebf0b,"southern, thomas.","southern, thomas","dryden, john, 1631-1700.","dryden, john","the loyal brother; or, the persian prince. a tragedy [in five acts and in verse. prologue and epilogue by john dryden]. [electronic resource]","the loyal brother; or, the persian prince. a tragedy",[in five acts and in verse. prologue and epilogue by john dryden],,"london, 1682.",,london,1682,tragedy
014829891,lsidyv345ec9a0,"southern, thomas.","southern, thomas",,,"oroonoko: a tragedy [in five acts, prose and verse], etc. [electronic resource]","oroonoko: a tragedy, etc.","[in five acts, prose and verse]",,"london, 1696.",,london,1696,tragedy
014830046,lsidyv31b0d357,"stanley, edward, b.a.","stanley, edward",,,"elmira; a dramatick poem [in five acts], with thoughts on tragedy. [electronic resource]",elmira; a dramatick poem,"[in five acts], with thoughts on tragedy",,"norwich, 1790.",,norwich,1790,tragedy
014830063,lsidyv349be4b2,"stapeldon, walter de, bishop of exeter.","stapeldon, walter de",,,"stapeldon. a tragedy. by the author of “æonial,” etc. [electronic resource]",stapeldon. a tragedy,"by the author of “æonial,” etc",,"oxford : parker and co., 1892.",parker and co.,oxford,1892,tragedy
014830065,lsidyv34eca38e,"stapleton, miles thomas, baron beaumont.","stapleton, miles thomas",,,francesca di faenza: a tragedy. [in verse.] [electronic resource],francesca di faenza: a tragedy,[in verse.],,"london : j. richardson, 1843.",j. richardson,london,1843,tragedy
014830113,lsidyv34999721,,,,,[sappho; a tragedy in five acts [and in verse].] [electronic resource],sappho; a tragedy in five acts,[and in verse],fifth edition.,"london, 1879.",,london,1879,tragedy
014830119,lsidyv34936a07,"stephens, george, author of “the manuscripts of erdély.”.","stephens, george, .”",,,"gertrude and beatrice, or, the queen of hungary. a historical tragedy, in five acts [and in verse]. [electronic resource]","gertrude and beatrice, or, the queen of hungary. a historical tragedy, in five acts",[and in verse],,"london : c. mitchell, 1839.",c. mitchell,london,1839,tragedy
014830233,lsidyv31b0eea8,"stockdale, percival.","stockdale, percival",,,"ximenes; a tragedy [in five acts, and in verse]. [electronic resource]",ximenes; a tragedy,"[in five acts, and in verse]",,"london, 1788.",,london,1788,tragedy
014830320,lsidyv34af60d6,"streatfeild, thomas.","streatfeild, thomas",,,"the bridal of armagnac, a tragedy [in five acts and in verse]. [electronic resource]","the bridal of armagnac, a tragedy",[in five acts and in verse],,"london, 1823.",,london,1823,tragedy
014830434,lsidyv3a126ff2,"sutcliffe, halliwell, 1870-1932.","sutcliffe, halliwell",,,a tragedy in grey. a novel. [electronic resource],a tragedy in grey. a novel,,,"london : skeffington & son, 1895.",skeffington & son,london,1895,tragedy
014830458,lsidyv3a9a72ec,"swarbreck, delia caroline.","swarbreck, delia caroline",,,"valencia; a tragedy, in five acts [and in verse], etc. [electronic resource]","valencia; a tragedy, in five acts","[and in verse], etc",,"richmond, yorkshire, 1830.",,yorkshire,1830,tragedy
014830478,lsidyv34988d1b,"swinburne, algernon charles. 1837-1909","swinburne, algernon charles",,,bothwell: a tragedy. [in verse.] [electronic resource],bothwell: a tragedy,[in verse.],,"london : chatto & windus, 1874.",chatto & windus,london,1874,tragedy
014830482,lsidyv345d7390,"swinhoe, gilbert.","swinhoe, gilbert",,,the tragedy of the unhappy fair irene. [in prose and verse.] [electronic resource],the tragedy of the unhappy fair irene,[in prose and verse.],,"london, 1658.",,london,1658,tragedy
014830554,lsidyv3988ff9d,,,"bunn, alfred.","bunn, alfred","tancred, a tale; and other poems. by the author of conrad, a tragedy [alfred bunn], etc. [electronic resource]","tancred, a tale; and other poems","by the author of conrad, a tragedy [alfred bunn], etc",,"london, 1819.",,london,1819,tragedy
014830580,lsidyv345db86b,"tate, nahum.","tate, nahum",,,"brutus of alba: or, the enchanted lovers; a tragedy [in five acts and in verse]. [electronic resource]","brutus of alba: or, the enchanted lovers; a tragedy",[in five acts and in verse],,"london, 1678.",,london,1678,tragedy
014830584,lsidyv338f21c4,"tate, nahum.","tate, nahum","shakespeare, william, 1564-1616","shakespeare, william","the ingratitude of a common-wealth: or the fall of caius martius coriolanus. [a tragedy in five acts and in verse, altered from shakespeare.] [electronic resource]",the ingratitude of a common-wealth: or the fall of caius martius coriolanus,"[a tragedy in five acts and in verse, altered from shakespeare.]",,"london, 1682.",,london,1682,tragedy
014830585,lsidyv345dbc25,"tate, nahum.","tate, nahum",,,injur'd love: or the cruel husband. a tragedy [in five acts and in verse]. [electronic resource],injur'd love: or the cruel husband. a tragedy,[in five acts and in verse],,"london, 1707.",,london,1707,tragedy
014830586,lsidyv338f8317,"tate, nahum.","tate, nahum","dryden, john, 1631-1700.","dryden, john","the loyal general, a tragedy [in five acts and in verse]. [electronic resource]","the loyal general, a tragedy",[in five acts and in verse],,"london, 1680.",,london,1680,tragedy
014830589,lsidyv345c6e93,"tatham, john, dramatist.","tatham, john",,,the distracted state; a tragedy [in five acts and in verse]. written in ... 1641. [electronic resource],the distracted state; a tragedy,[in five acts and in verse]. written in ... 1641. [electronic resource],,"london, 1651.",,london,1651,tragedy
014830761,lsidyv31af8aa9,,,"madden, samuel, d.d., rector of drummully.","madden, samuel, .","themistocles, the lover of his country. a tragedy [in five acts, in verse. by s. madden]. [electronic resource]","themistocles, the lover of his country. a tragedy","[in five acts, in verse. by s. madden]",,"london, 1729.",,london,1729,tragedy
014830773,lsidyv307aa05e,,,,,"sir thomas more: a tragedy. by the author of the village curate [i.e. james hurdis], etc. [electronic resource]",sir thomas more: a tragedy,"by the author of the village curate [i.e. james hurdis], etc",,"london : j. johnson, 1792.",j. johnson,london,1792,tragedy
014830788,lsidyv3498cc7b,"thomas, george powell.","thomas, george powell",,,"michele orombello, or the fatal secret; a tragedy in three acts [and in verse]. (the assassin, or the rival lovers, a tragedy in five acts [and in verse].). [electronic resource]","michele orombello, or the fatal secret; a tragedy in three acts","[and in verse]. (the assassin, or the rival lovers, a tragedy in five acts [and in verse].)",,"london, calcutta [printed], 1852.",[printed],london,1852,tragedy
014830893,lsidyv34af5e09,"thurtle, afterwards jamieson, frances.","thurtle, afterwards jamieson, frances",,,"cadijah; or, the black palace. a tragedy, in five acts, etc. (helim and abdallah ... from the guardian, the 167th paper.). [electronic resource]","cadijah; or, the black palace. a tragedy, in five acts, etc. (helim and abdallah","from the guardian, the 167th paper.)...",,"london, 1825.",,london,1825,tragedy
014831130,lsidyv345f21ec,"trotter, catharine, 1679-1749",trottertharine,,,fatal friendship. a tragedy [in five acts and in verse]. [electronic resource],fatal friendship. a tragedy,[in five acts and in verse],,"london, 1698.",,london,1698,tragedy
014831139,lsidyv349ca83a,"troughton, richard zouch s.","troughton, richard zouch",,,"[nina sforza, a tragedy. [in five acts and in verse.]] [electronic resource]","nina sforza, a tragedy",[in five acts and in verse.],"second edition, with the adaptation for the stage.","saunders & otley : london, 1841.",,london,1841,tragedy
014831213,lsidyv34af6b84,"twiss, horace.","twiss, horace",,,the carib chief; a tragedy in five acts [and in verse]. [electronic resource],the carib chief; a tragedy in five acts,[and in verse],,"london : longmans, 1819.",longmans,london,1819,tragedy
014831293,lsidyv3031a896,"upward, allen.","upward, allen",,,"a day's tragedy. a novel in rhyme, etc. [electronic resource]","a day's tragedy. a novel in rhyme, etc.",,,"pp. 253. chapman & hall: london, 1897.",,london,1897,tragedy
014831307,lsidyv345d81bd,,,,,"the unfortunate usurper, a tragedy [in five acts and in verse]. [electronic resource]","the unfortunate usurper, a tragedy",[in five acts and in verse],,"london, 1663.",,london,1663,tragedy
014831470,lsidyv2eba91af,"voltaire, 1694-1778",voltaire,"hoadly, john, ll.d., dramatic writer. -- miller, dorothy, widow of rev. james miller. -- miller, james, rector of upcerne, dorset.","hoadly, john, ., .  miller, dorothy, .  miller, james","mahomet the impostor. a tragedy. [in verse. adapted from the french of voltaire, acts i.-iv. by james miller, act v. by j. hoadly. with a dedicatory epistle by dorothy miller.] [electronic resource]",mahomet the impostor. a tragedy,"[in verse. adapted from the french of voltaire, acts i.-iv. by james miller, act v. by j. hoadly. with a dedicatory epistle by dorothy miller.]",,"london : j. watts; b. dod, 1744.",j. watts; b. dod,london,1744,tragedy
014831485,lsidyv345aa69c,"w., j., gent.","w., j., gent","bowyer, william, soldier.","bowyer, william","the valiant scot; by j. w., gent. [a tragedy, in five acts and in prose and verse, with a dedication by w. bowyer.] [electronic resource]","the valiant scot; by j. w., gent","[a tragedy, in five acts and in prose and verse, with a dedication by w. bowyer.]",,"london : t. harper for j. waterson, 1637.",t. harper for j. waterson,london,1637,tragedy
014831548,lsidyv34af6de5,"walker, charles edward, dramatist.","walker, charles edward",,,wallace: a historical tragedy in five acts [and in verse]. [electronic resource],wallace: a historical tragedy in five acts,[and in verse],,"london, 1820.",,london,1820,tragedy
014831557,lsidyv34f90d95,"walker, j. greenhalgh.","walker, j. greenhalgh",,,the brides of death: a tragedy in five acts. [in verse.] [electronic resource],the brides of death: a tragedy in five acts,[in verse.],,"london : w. andrews & co., 1899.",w. andrews & co.,london,1899,tragedy
014831757,lsidyv3352ee97,"watkins, william, author of “the fall of carthage.”.","watkins, william, .”",,,"the fall of carthage. a tragedy [in five acts and in verse]. with additions, etc. [electronic resource]",the fall of carthage. a tragedy,"[in five acts and in verse]. with additions, etc",,"whitby, 1802.",whitby,whitby,1802,tragedy
014831828,lsidyv3458e79a,"webster, john, dramatist.","webster, john",,,[appius and virginia; a tragedy [in five acts and in verse].] [electronic resource],appius and virginia; a tragedy,[in five acts and in verse],[another edition.],"london, 1659.",,london,1659,tragedy
014831830,lsidyv3460eba1,"webster, john, dramatist.","webster, john","webster, john, dramatist.","webster, john","the tragedy of the dutchesse of malfy. [in five acts, and in verse.] ... the perfect and exact coppy, with diverse things printed that the length of the play would not beare in the presentment. [electronic resource]",the tragedy of the dutchesse of malfy,"[in five acts, and in verse.] the perfect and exact coppy, with diverse things printed that the length of the play would not beare in the presentment...",,"london : n. oakes for j. waterson, 1623.",n. oakes for j. waterson,london,1623,tragedy
014831918,lsidyv33914c38,"west, jane.","west, jane",,,"miscellaneous poems, and a tragedy [entitled, edmund, surnamed ironside; in five acts and in verse]. [electronic resource]","miscellaneous poems, and a tragedy","[entitled, edmund, surnamed ironside; in five acts and in verse]",,"york, 1791.",,york,1791,tragedy
014831923,lsidyv34af6ff2,"west, matthew, publisher.","west, matthew",,,"female heroism, a tragedy in five acts [and in verse] founded on revolutionary events that occurred in france in ... 1793. [electronic resource]","female heroism, a tragedy in five acts",[and in verse] founded on revolutionary events that occurred in france in ...1793,,"dublin, 1803.",,dublin,1803,tragedy
014832005,lsidyv335047bb,"whitaker, william, author of “the conspiracy”.","whitaker, william, ”","ravenscroft, edward, dramatist.","ravenscroft, edward","the conspiracy, or the change of government. a tragedy [in five acts, and in verse]. [electronic resource]","the conspiracy, or the change of government. a tragedy","[in five acts, and in verse]",,"london, 1680.",,london,1680,tragedy
014832058,lsidyv3a9966a3,"whitehead, william, secretary to the hon. order of the bath.","whitehead, william",,,"the roman father, a tragedy [in five acts, and in verse], etc. [electronic resource]","the roman father, a tragedy, etc.","[in five acts, and in verse]",,"london, 1750.",,london,1750,tragedy
014832248,lsidyv34af75c1,"wilmot afterwards brand, barbarina, baroness dacre.","wilmot afterwards brand, barbarina",,,"ina. a tragedy; in five acts [and in verse], etc. [electronic resource]",ina. a tragedy; in five acts,"[and in verse], etc",,"london, 1815.",,london,1815,tragedy
014832299,lsidyv349b4f18,"winser, charles.","winser, charles",,,alberto della scala: an historical tragedy [in five acts and in verse]. [electronic resource],alberto della scala: an historical tragedy,[in five acts and in verse],,"london, 1838.",,london,1838,tragedy
014832692,lsidyv3499e606,,,,,the rabbi of york. a tragedy in five acts [and in verse]. [electronic resource],the rabbi of york. a tragedy in five acts,[and in verse],,"london, 1852.",,london,1852,tragedy
014832723,lsidyv34f08b0d,"young, edward, the poet.","young, edward",,,"young's revenge, a tragedy, revised by j. p. kemble ... as it is acted at the theatre royal in covent garden. [electronic resource]","young's revenge, a tragedy, revised by j. p. kemble",as it is acted at the theatre royal in covent garden...,,"london : printed for the theatre, 1811.",printed for the theatre,london,1811,tragedy
014832769,lsidyv31abe1a6,"brown, john, vicar of newcastle-upon-tyne.","brown, john",,,barbarossa. a tragedy. as it is performed at the theatre-royal in drury-lane. [by john brown.] [electronic resource],barbarossa. a tragedy,as it is performed at the theatre-royal in drury-lane. [by john brown.],,"london : j. & r. tonson & s. draper, 1755.",j. & r. tonson & s. draper,london,1755,tragedy
014832786,lsidyv3395d833,"rowley, samuel, d. 1624.","rowley, samuel","dekker, thomas, approximately 1572-1632. -- r., s.","dekker, thomas .","the noble souldier. or, a contract broken, justly reveng'd. a tragedy. written by s. r. [i.e. samuel rowley.] [electronic resource]","the noble souldier. or, a contract broken, justly reveng'd. a tragedy",written by s. r. [i.e. samuel rowley.],,"london: printed for nicholas vavasour, 1634.",printed for nicholas vavasour,london,1634,tragedy
014832788,lsidyv3b77c51b,"nutt, d., miss.",nutt,,,"anne boleyn. a tragedy in five acts. by the author of “palace and prison”, “ginevra”, etc. [electronic resource]",anne boleyn. a tragedy in five acts,"by the author of “palace and prison”, “ginevra”, etc",,"london : c. kegan paul & co., 1881.",c. kegan paul & co.,london,1881,tragedy
014832818,lsidyv31af8cda,,,,,eurydice; a tragedy in five acts and in verse. [by d. mallet.] [electronic resource],eurydice; a tragedy in five acts and in verse,[by d. mallet.],,"london, 1731.",,london,1731,tragedy
014846802,lsidyv35e77d2f,"arden, thomas, of faversham.","arden, thomas","bullen, arthur henry.","bullen, arthur henry","arden of feversham, a tragedy: reprinted from the edition of 1592. with an introduction by a. h. bullen. [electronic resource]","arden of feversham, a tragedy:",reprinted from the edition of 1592. with an introduction by a. h. bullen,,"london : j. w. jarvis & son, 1887.",j. w. jarvis & son,london,1887,tragedy
014846957,lsidyv35e8b99c,"browning, robert, 1812-1889.","browning, robert","gardiner, samuel rawson. -- hickey, emily henrietta, 1845-1924.","gardiner, samuel rawson.  hickey, emily henrietta",[strafford: an historical tragedy.] [electronic resource],strafford: an historical tragedy,,[another edition.] with notes and preface by emily h. hickey ... and an introduction by samuel r. gardiner.,"london : g. bell & sons, 1884.",g. bell & sons,london,1884,tragedy
014847025,lsidyv35e8c627,"caunter, richard macdonald.","caunter, richard macdonald",,,"attila, a tragedy; and other poems. [electronic resource]","attila, a tragedy; and other poems",,,"london : t. & w. boone, 1832.",t. & w. boone,london,1832,tragedy
014847064,lsidyv35e8db2b,"clarke, joseph ignatius constantine.","clarke, joseph ignatius constantine",,,robert emmet. a tragedy of irish history. [a play. with a portrait.] [electronic resource],robert emmet. a tragedy of irish history,[a play. with a portrait.],,"new york & london : g. p. putnam's sons, 1888.",g. p. putnam's sons,new york & london,1888,tragedy
014847249,lsidyv35e87a54,,,,,"the maid of florence; or, a woman's vengeance. a tragedy in five acts [and in verse]. [electronic resource]","the maid of florence; or, a woman's vengeance. a tragedy in five acts",[and in verse],,"london, 1874.",,london,1874,tragedy
014847921,lsidyv35e86dc3,,,,,"richard cœur de lion, an historical tragedy [in five acts and in verse]. [electronic resource]","richard cœur de lion, an historical tragedy",[in five acts and in verse],,"london, 1861.",,london,1861,tragedy
014848076,lsidyv35e897c1,,,,,"the king's stratagem, or the pearl of poland. a tragedy in five acts by stella ... second edition. [in verse.] [electronic resource]","the king's stratagem, or the pearl of poland. a tragedy in five acts by stella",second edition. [in verse.]..,,"london, 1874.",,london,1874,tragedy
014848256,lsidyv35c68aba,"white, edmund h.","white, edmund h.",,,"athelstan, a tragedy. life and death, an allegory, and other poems. [electronic resource]","athelstan, a tragedy. life and death, an allegory, and other poems",,,"london : w. strange, 1847.",w. strange,london,1847,tragedy
014861152,lsidyv36277543,"williams, c. h.","williams, c. h.",,,"sesostris; or, the priest and the king. a tragedy in five acts [and in verse]. [electronic resource]","sesostris; or, the priest and the king. a tragedy in five acts",[and in verse],,"london, 1853.",,london,1853,tragedy
014866329,lsidyv36799899,"ayscough, george edward, d. 1779.","ayscough, george edward",,,"semiramis, a tragedy, etc. [in verse.] [electronic resource]","semiramis, a tragedy, etc.",[in verse.],,"london : j. dodsley, 1776.",j. dodsley,london,1776,tragedy
014866360,lsidyv3679ae3b,"bartholomew, john, dramatist.","bartholomew, john",,,"the fall of the french monarchy; or, louis xvi. an historical tragedy, in five acts. [in verse.] [electronic resource]","the fall of the french monarchy; or, louis xvi. an historical tragedy, in five acts",[in verse.],,"london : for the author, 1794.",for the author,london,1794,tragedy
014866568,lsidyv36799f50,"cumberland, richard, 1732-1811","cumberland, richard",,,"the battle of hastings, a tragedy, etc. [electronic resource]","the battle of hastings, a tragedy, etc.",,,"london : edward & charles dilly, 1778.",edward & charles dilly,london,1778,tragedy
014866895,lsidyv3679b67b,"haynes, james, dramatic writer.","haynes, james",,,"durazzo: a tragedy, in five acts, [in verse.] [electronic resource]","durazzo: a tragedy, in five acts",[in verse.],,"london, 1823.",,london,1823,tragedy
014866925,lsidyv3679b1f5,"hey, richard, l.l.d.","hey, richard",,,"the captive monarch. a tragedy, in five acts [and in verse]. [electronic resource]","the captive monarch. a tragedy, in five acts",[and in verse],,"london, 1794.",,london,1794,tragedy
014866954,lsidyv3679944f,"hoole, john.","hoole, john",,,"cleonice, princess of bithynia; a tragedy [in five acts and in verse]. [electronic resource]","cleonice, princess of bithynia; a tragedy",[in five acts and in verse],,"london, 1775.",,london,1775,tragedy
